Start Date,End Date,IP Address,Respondent ID,"Did you use the Where to Walk feature in the app to find a local park, open space, or trail?",Why not? (Select all that apply), , .1, .2, .3,"Did you walk at a local park, open space, or trail during the Intentional Walk program?",Why not?,"Before the program, how many days a week did you walk for exercise?","On average, how many days a week during the program did friends and/or family walk with you?","During the last week of the program, how many days a week did you walk for exercise?","Now that the program is over, how many days a week do you plan to continue walking for exercise?",How often did you look at the Top Walkers feature in the app?,Why not?.1,The Top Walkers feature was easy to use,I liked being able to see my place among all walkers on the Top Walkers feature ,"Throughout the program, what were your top motivators to keep walking? (Select all that apply)", .4, .5, .6, .7, .8, .9,"Besides SF Giants tickets, what other prizes would motivate you to keep walking during the program? (e.g. grocery gift card, a pair of walking shoes, exercise equipment, etc.)",Which of the following options would make you walk more during the program? (Select all that apply), .10, .11, .12, .13, .14,How would you rate your health before starting the Intentional Walk Program on 6/1?,How would you rate your health now?,Did you experience any of these while participating in the program? (Select all that apply) , .15, .16, .17, .18,Did participating in the program lead to you making any other healthy lifestyle changes?,What healthy lifestyle changes did you make?,How did you find out about the Intentional Walk program? (select all that apply), .19, .20, .21, .22, .23,Would you participate in this program again?,Why not?.2,Is there anything you would change about the Intentional Walk app?
2023-09-09 00:23:21,2023-09-09 00:27:39,172.58.89.179,,Yes,,,,,,Yes,,2,6,7,6,Sometimes,,Strongly agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,,,,,,Exercise equipment ,,,Quick tips for easy ways to walk more,,,,Good,Good,,Better sleep quaity,Feel less stressed,,,No,,WIC,,,,,,Yes,,No 
2023-09-08 15:59:03,2023-09-08 18:33:38,107.116.89.142,,Yes,,,,,,Yes,,4,3,2,1,Often,,Strongly agree,Agree,,Being a positive role model for my children/family/friends,,,The chance to win prizes,,,"Giftcard to target or anywhere local, tix to the aquarium etc",More ideas for where to walk in the app,Reminders/prompts to walk,Quick tips for easy ways to walk more,,Earning awards/medals in the app,,Fair,Good,More energy,,Feel less stressed,,,Yes,Do more walking!,,Rec and Park flyer or newsletter,,,,,Yes,,
2023-09-08 17:49:27,2023-09-08 18:00:15,172.58.88.157,,Yes,,,,,,Yes,,2,0,5,7,Often,,Strongly agree,Agree,,,A sense of accomplishment,,,,,A pair of walking shoes ,,,Quick tips for easy ways to walk more,,,,Poor,Fair,More energy,,,,,Yes,Quitting fast food ,WIC,,,,,,Yes,,Not a thing 
2023-09-08 15:46:27,2023-09-08 15:47:08,107.116.93.74,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08 14:49:04,2023-09-08 14:52:36,73.71.130.16,,Yes,,,,,,Yes,,3,4,4,4,Never,Forgot ,Agree,Neither agree nor disagree,Feeling healthier,,A sense of accomplishment,,,,,Grocery gift card,More ideas for where to walk in the app,Reminders/prompts to walk,,,Earning awards/medals in the app,,Very good,Very good,,Better sleep quaity,Feel less stressed,,,No,,WIC,,,,,,Yes,,
2023-09-01 17:33:49,2023-09-08 14:34:20,172.56.209.193,,Yes,,,,,,Yes,,2,6,6,5,Sometimes,,Agree,Agree,,,,,The chance to win prizes,,,gift cards,,Reminders/prompts to walk,,,,,Fair,Good,,,,Feel happier,,No,,WIC,,,,,,Yes,,"I want to the the gift card, I’m try my best to walk, but I can’t win the prize or gift card, I am so sad."
2023-09-08 14:15:58,2023-09-08 14:19:57,98.207.184.45,,No,I already have walking routes,,,,,Yes,,5,5,5,5,Sometimes,,Neither agree nor disagree,Neither agree nor disagree,Feeling healthier,,,,,,,Grocery ,,Reminders/prompts to walk,,,,,Good,Good,More energy,,,,,Yes,Walk more,WIC,,,,,,Yes,,
2023-09-08 12:27:11,2023-09-08 12:30:05,108.147.93.8,,Yes,,,,,,Yes,,2,3,4,5,Sometimes,,Strongly agree,Agree,Feeling healthier,,,,,,,My body ,More ideas for where to walk in the app,,,,,,Excellent,Excellent,More energy,,,,,Yes,Good,WIC,,,,,,Yes,,
2023-09-08 11:56:44,2023-09-08 11:59:34,107.199.202.136,,No,I already have walking routes,"I am already familiar with local parks, open spaces, and/or trails",I did not see this feature in the app,,,No,Was working then just had a baby,7,0,1,5,Often,,Strongly agree,Strongly agree,Feeling healthier,,A sense of accomplishment,,The chance to win prizes,,,Gift cards,,,,,Earning awards/medals in the app,,Very good,Very good,,Better sleep quaity,,,,No,,WIC,,,,,,Yes,,No
2023-09-08 11:45:16,2023-09-08 11:52:03,172.59.129.16,,Yes,,,,,,Yes,,1,3,3,3,Sometimes,,Agree,Agree,,Being a positive role model for my children/family/friends,,,,,,Grosery gift card,More ideas for where to walk in the app,,,,,,Excellent,Very good,More energy,,,,,Yes,eat and walk,WIC,,,,,,Yes,,No 
2023-09-08 11:29:18,2023-09-08 11:32:44,157.131.98.190,,No,,"I am already familiar with local parks, open spaces, and/or trails",,,,Yes,,7,7,7,7,Sometimes,,Strongly agree,Agree,Feeling healthier,Being a positive role model for my children/family/friends,A sense of accomplishment,,,The friends and/or family who walked with me or on their own,,Money ,,Reminders/prompts to walk,,Quick facts about the health benefits of walking,,,Very good,Very good,More energy,Better sleep quaity,Feel less stressed,Feel happier,,No,,WIC,,,,,,Yes,,"No, great program! "
2023-09-08 11:19:32,2023-09-08 11:21:44,24.6.10.73,,No,I already have walking routes,,,,,Yes,,2,3,4,2,Sometimes,,Agree,Agree,Feeling healthier,,,,The chance to win prizes,,,All,,Reminders/prompts to walk,,,,,Good,Good,,,,,Healthy ,Yes,Walking,WIC,,,,,,Yes,,
